,Type of Travel,Inflight wifi service,Customer Type,Online boarding,Checkin service,Class,Inflight service,Baggage handling,Seat comfort,Cleanliness,On-board service,Leg room service,True_Y,Predicted_Y_Random Forest
4,0,2,0,1,4,1,2,2,2,4,2,2,1,0
38,0,4,1,4,3,0,5,4,4,2,4,2,0,1
51,0,4,1,4,3,0,5,5,2,2,5,3,1,0
102,1,4,0,4,4,1,4,4,5,5,2,2,1,0
110,0,4,0,4,4,1,3,2,4,4,2,5,0,1
136,0,3,1,3,3,0,5,5,2,2,4,3,0,1
149,1,4,0,4,2,1,4,4,1,1,1,5,1,0
153,0,4,1,4,2,1,2,2,2,2,1,5,1,0
161,1,4,0,3,2,1,3,1,3,2,3,4,1,0
209,0,4,1,4,3,0,5,4,5,5,5,3,1,0
247,1,4,0,0,5,1,5,4,2,2,3,4,1,0
254,0,3,0,4,4,0,3,3,4,3,3,2,1,0
278,0,2,0,2,3,1,3,2,2,2,3,5,1,0
283,0,4,0,4,4,1,3,4,4,4,2,1,1,0
298,0,4,0,4,4,1,3,4,4,4,3,4,0,1
307,1,4,0,4,3,1,4,4,5,5,2,5,1,0
310,0,3,0,4,1,0,3,2,3,4,2,3,1,0
365,0,4,1,4,3,0,5,5,5,5,4,3,0,1
374,1,4,0,3,3,1,3,3,1,1,4,1,1,0
380,0,3,0,2,4,0,1,3,2,2,1,1,1,0
384,0,4,1,4,4,0,5,5,1,1,5,2,1,0
428,0,2,0,2,4,0,5,4,2,2,2,2,0,1
493,0,4,1,3,3,0,1,5,1,1,2,5,1,0
526,0,4,0,1,2,0,4,4,2,2,4,4,1,0
528,1,4,0,4,3,1,4,4,5,5,4,4,0,1
535,0,4,0,4,1,2,4,4,4,4,2,2,1,0
540,1,4,0,2,1,1,3,3,2,2,1,5,1,0
561,0,3,0,1,4,0,3,3,1,3,3,4,0,1
598,1,4,0,4,3,2,3,3,4,4,1,3,1,0
611,1,4,0,4,3,1,4,3,3,3,3,3,0,1
640,0,4,1,4,3,0,5,5,5,5,4,2,0,1
664,0,3,0,3,3,1,1,4,3,3,1,4,1,0
742,0,4,0,3,3,1,4,4,3,3,4,4,1,0
804,0,3,0,3,5,0,1,1,3,3,1,1,0,1
827,0,4,0,4,3,1,3,3,4,4,1,5,1,0
836,0,4,1,4,4,0,5,5,2,2,4,5,0,1
854,1,4,0,5,3,1,5,2,4,5,5,4,1,0
859,0,4,0,4,4,0,4,4,4,4,4,4,0,1
871,0,4,0,4,3,1,3,3,4,4,1,3,1,0
875,0,4,1,4,3,0,5,5,2,2,5,3,1,0
915,1,4,0,4,3,1,4,4,5,5,5,3,1,0
923,0,4,0,4,1,1,2,1,3,4,3,1,1,0
935,1,4,0,4,5,1,4,4,1,1,5,2,0,1
1031,1,4,0,4,3,1,5,4,5,5,2,1,1,0
1067,1,4,0,4,4,2,4,4,2,2,3,4,1,0
1099,1,4,0,5,4,1,4,4,3,3,1,1,1,0
1155,0,4,0,4,3,0,4,4,3,2,4,4,1,0
1158,1,4,0,4,5,1,4,4,2,2,3,4,1,0
1176,1,4,0,4,1,1,2,4,2,5,5,4,1,0
1198,0,4,1,4,3,0,5,5,2,2,4,3,0,1
1200,0,3,1,3,5,1,5,5,1,1,5,5,0,1
1243,0,4,1,4,1,1,4,5,5,5,5,5,0,1
1274,1,4,0,4,5,1,5,5,2,2,4,4,1,0
1286,0,3,1,3,3,0,4,3,4,4,4,4,0,1
1291,0,4,0,4,4,0,4,4,4,3,4,4,0,1
1443,0,4,0,4,1,0,4,4,4,2,4,4,1,0
1453,1,4,0,4,4,1,5,4,3,3,4,5,0,1
1466,0,4,1,5,5,0,4,4,5,5,3,4,1,0
1470,0,3,1,3,3,0,4,4,4,4,5,3,1,0
1558,0,5,0,3,3,0,5,5,2,4,5,4,0,1
1560,0,4,1,4,5,1,4,3,4,4,5,4,1,0
1575,0,4,1,4,3,0,4,5,5,5,3,3,0,1
1580,0,2,0,2,3,1,3,2,2,2,1,4,1,0
